"strategy","threshold","nb"
"Policy D, context (budget 5)",0.155,-0.0788546580909056
"Policy D, context (budget 5)",0.16,-0.0824464964300866
"Policy D, context (budget 5)",0.165,-0.0860813507972817
"Policy D, context (budget 5)",0.17,-0.0897599985905876
"Policy D, context (budget 5)",0.175,-0.0934832360541153
"Policy D, context (budget 5)",0.18,-0.0972518788525642
"Policy D, context (budget 5)",0.185,-0.101066762666945
"Policy D, context (budget 5)",0.19,-0.104928743812367
"Policy D, context (budget 5)",0.195,-0.108838699878851
"Policy D, context (budget 5)",0.2,-0.112797530396166
"Policy D, context (budget 5)",0.205,-0.116806157523761
"Policy D, context (budget 5)",0.21,-0.120865526766895
"Policy D, context (budget 5)",0.215,-0.124976607720134
"Policy D, context (budget 5)",0.22,-0.129140394839439
"Policy D, context (budget 5)",0.225,-0.133357908244155
"Policy D, context (budget 5)",0.23,-0.13763019455023
"Policy D, context (budget 5)",0.235,-0.141958327736124
"Policy D, context (budget 5)",0.24,-0.146343410042885
"Policy D, context (budget 5)",0.245,-0.15078657291
"Policy D, context (budget 5)",0.25,-0.155288977948676
"Policy D, context (budget 5)",0.255,-0.159851817954315
"Policy D, context (budget 5)",0.26,-0.16447631796003
"Policy D, context (budget 5)",0.265,-0.16916373633317
"Policy D, context (budget 5)",0.27,-0.1739153659169
"Policy D, context (budget 5)",0.275,-0.178732535219027
"Policy D, context (budget 5)",0.28,-0.18361660965035
"Policy D, context (budget 5)",0.285,-0.188568992814978
"Policy D, context (budget 5)",0.29,-0.193591127855165
"Policy D, context (budget 5)",0.295,-0.198684498853368
"Policy D, context (budget 5)",0.3,-0.203850632294403
"Interrupt none",0.01,0
"Interrupt none",0.015,0
"Interrupt none",0.02,0
"Interrupt none",0.025,0
"Interrupt none",0.03,0
"Interrupt none",0.035,0
"Interrupt none",0.04,0
"Interrupt none",0.045,0
"Interrupt none",0.05,0
"Interrupt none",0.055,0
"Interrupt none",0.06,0
"Interrupt none",0.065,0
"Interrupt none",0.07,0
"Interrupt none",0.075,0
"Interrupt none",0.08,0
"Interrupt none",0.085,0
"Interrupt none",0.09,0
"Interrupt none",0.095,0
"Interrupt none",0.1,0
"Interrupt none",0.105,0
"Interrupt none",0.11,0
"Interrupt none",0.115,0
"Interrupt none",0.12,0
"Interrupt none",0.125,0
"Interrupt none",0.13,0
"Interrupt none",0.135,0
"Interrupt none",0.14,0
"Interrupt none",0.145,0
"Interrupt none",0.15,0
"Interrupt none",0.155,0
"Interrupt none",0.16,0
"Interrupt none",0.165,0
"Interrupt none",0.17,0
"Interrupt none",0.175,0
"Interrupt none",0.18,0
"Interrupt none",0.185,0
"Interrupt none",0.19,0
"Interrupt none",0.195,0
"Interrupt none",0.2,0
"Interrupt none",0.205,0
"Interrupt none",0.21,0
"Interrupt none",0.215,0
"Interrupt none",0.22,0
"Interrupt none",0.225,0
"Interrupt none",0.23,0
"Interrupt none",0.235,0
"Interrupt none",0.24,0
"Interrupt none",0.245,0
"Interrupt none",0.25,0
"Interrupt none",0.255,0
"Interrupt none",0.26,0
"Interrupt none",0.265,0
"Interrupt none",0.27,0
"Interrupt none",0.275,0
"Interrupt none",0.28,0
"Interrupt none",0.285,0
"Interrupt none",0.29,0
"Interrupt none",0.295,0
"Interrupt none",0.3,0
"Policy D score swept as if a probability",0.01,0.0429122659889808
"Policy D score swept as if a probability",0.015,0.038058488692735
"Policy D score swept as if a probability",0.02,0.0331573935864795
"Policy D score swept as if a probability",0.025,0.0282065863045581
"Policy D score swept as if a probability",0.03,0.023206973091022
"Policy D score swept as if a probability",0.035,0.0181562519423563
"Policy D score swept as if a probability",0.04,0.0130543294790905
"Policy D score swept as if a probability",0.045,0.00790040149209484
"Policy D score swept as if a probability",0.05,0.00269222163155187
"Policy D score swept as if a probability",0.055,-0.00256992504277836
"Policy D score swept as if a probability",0.06,-0.00788689970345627
"Policy D score swept as if a probability",0.065,-0.0132595819438457
"Policy D score swept as if a probability",0.07,-0.018690908476801
"Policy D score swept as if a probability",0.075,-0.0241734870346531
"Policy D score swept as if a probability",0.08,-0.0297044740377246
"Policy D score swept as if a probability",0.085,-0.0352929495337901
"Policy D score swept as if a probability",0.09,-0.0409425392771814
"Policy D score swept as if a probability",0.095,-0.0466547050342534
"Policy D score swept as if a probability",0.1,-0.0524249235018549
"Policy D score swept as if a probability",0.105,-0.0582600675219896
"Policy D score swept as if a probability",0.11,-0.0641616877330048
"Policy D score swept as if a probability",0.115,-0.0701313698159225
"Policy D score swept as if a probability",0.12,-0.0761633503110391
"Policy D score swept as if a probability",0.125,-0.0822659698340058
"Policy D score swept as if a probability",0.13,-0.0884368668924494
"Policy D score swept as if a probability",0.135,-0.094681451690535
"Policy D score swept as if a probability",0.14,-0.100970624334439
"Policy D score swept as if a probability",0.145,-0.107343647736236
"Policy D score swept as if a probability",0.15,-0.113801842327009
"Policy D score swept as if a probability",0.155,-0.12033758687108
"Policy D score swept as if a probability",0.16,-0.126969512926349
"Policy D score swept as if a probability",0.165,-0.133676647355185
"Policy D score swept as if a probability",0.17,-0.140443710447955
"Policy D score swept as if a probability",0.175,-0.147220259679303
"Policy D score swept as if a probability",0.18,-0.154138230975854
"Policy D score swept as if a probability",0.185,-0.161016987165057
"Policy D score swept as if a probability",0.19,-0.167693829567515
"Policy D score swept as if a probability",0.195,-0.174527114225737
"Policy D score swept as if a probability",0.2,-0.181287064366758
"Policy D score swept as if a probability",0.205,-0.188308995452944
"Policy D score swept as if a probability",0.21,-0.195135310967916
"Policy D score swept as if a probability",0.215,-0.201980112293292
"Policy D score swept as if a probability",0.22,-0.208866494333201
"Policy D score swept as if a probability",0.225,-0.215790719593571
"Policy D score swept as if a probability",0.23,-0.222890326927804
"Policy D score swept as if a probability",0.235,-0.230051058938925
"Policy D score swept as if a probability",0.24,-0.237129285071923
"Policy D score swept as if a probability",0.245,-0.244579943005004
"Policy D score swept as if a probability",0.25,-0.251816548873063
"Policy D score swept as if a probability",0.255,-0.25925424463159
"Policy D score swept as if a probability",0.26,-0.266625584668315
"Policy D score swept as if a probability",0.265,-0.273692503890993
"Policy D score swept as if a probability",0.27,-0.281226062451569
"Policy D score swept as if a probability",0.275,-0.288506089504464
"Policy D score swept as if a probability",0.28,-0.295780792571932
"Policy D score swept as if a probability",0.285,-0.303084713493877
"Policy D score swept as if a probability",0.29,-0.310774119656333
"Policy D score swept as if a probability",0.295,-0.317651717720164
"Policy D score swept as if a probability",0.3,-0.324878241258322
